Date,Unemployment Rate
May-50,5.5
Jun-50,5.4
Jul-50,5
Aug-50,4.5
Sep-50,4.4
Oct-50,4.2
Nov-50,4.2
Dec-50,4.3
Jan-51,3.7
Feb-51,3.4
Mar-51,3.4
Apr-51,3.1
May-51,3
Jun-51,3.2
Jul-51,3.1
Aug-51,3.1
Sep-51,3.3
Oct-51,3.5
Nov-51,3.5
Dec-51,3.1
Jan-52,3.2
Feb-52,3.1
Mar-52,2.9
Apr-52,2.9
May-52,3
Jun-52,3
Jul-52,3.2
Aug-52,3.4
Sep-52,3.1
Oct-52,3
Nov-52,2.8
Dec-52,2.7
Jan-53,2.9
Feb-53,2.6
Mar-53,2.6
Apr-53,2.7
May-53,2.5
Jun-53,2.5
Jul-53,2.6
Aug-53,2.7
Sep-53,2.9
Oct-53,3.1
Nov-53,3.5
Dec-53,4.5
Jan-54,4.9
Feb-54,5.2
Mar-54,5.7
Apr-54,5.9
May-54,5.9
Jun-54,5.6
Jul-54,5.8
Aug-54,6
Sep-54,6.1
Oct-54,5.7
Nov-54,5.3
Dec-54,5
Jan-55,4.9
Feb-55,4.7
Mar-55,4.6
Apr-55,4.7
May-55,4.3
Jun-55,4.2
Jul-55,4
Aug-55,4.2
Sep-55,4.1
Oct-55,4.3
Nov-55,4.2
Dec-55,4.2
Jan-56,4
Feb-56,3.9
Mar-56,4.2
Apr-56,4
May-56,4.3
Jun-56,4.3
Jul-56,4.4
Aug-56,4.1
Sep-56,3.9
Oct-56,3.9
Nov-56,4.3
Dec-56,4.2
Jan-57,4.2
Feb-57,3.9
Mar-57,3.7
Apr-57,3.9
May-57,4.1
Jun-57,4.3
Jul-57,4.2
Aug-57,4.1
Sep-57,4.4
Oct-57,4.5
Nov-57,5.1
Dec-57,5.2
Jan-58,5.8
Feb-58,6.4
Mar-58,6.7
Apr-58,7.4
May-58,7.4
Jun-58,7.3
Jul-58,7.5
Aug-58,7.4
Sep-58,7.1
Oct-58,6.7
Nov-58,6.2
Dec-58,6.2
Jan-59,6
Feb-59,5.9
Mar-59,5.6
Apr-59,5.2
May-59,5.1
Jun-59,5
Jul-59,5.1
Aug-59,5.2
Sep-59,5.5
Oct-59,5.7
Nov-59,5.8
Dec-59,5.3
Jan-60,5.2
Feb-60,4.8
Mar-60,5.4
Apr-60,5.2
May-60,5.1
Jun-60,5.4
Jul-60,5.5
Aug-60,5.6
Sep-60,5.5
Oct-60,6.1
Nov-60,6.1
Dec-60,6.6
Jan-61,6.6
Feb-61,6.9
Mar-61,6.9
Apr-61,7
May-61,7.1
Jun-61,6.9
Jul-61,7
Aug-61,6.6
Sep-61,6.7
Oct-61,6.5
Nov-61,6.1
Dec-61,6
Jan-62,5.8
Feb-62,5.5
Mar-62,5.6
Apr-62,5.6
May-62,5.5
Jun-62,5.5
Jul-62,5.4
Aug-62,5.7
Sep-62,5.6
Oct-62,5.4
Nov-62,5.7
Dec-62,5.5
Jan-63,5.7
Feb-63,5.9
Mar-63,5.7
Apr-63,5.7
May-63,5.9
Jun-63,5.6
Jul-63,5.6
Aug-63,5.4
Sep-63,5.5
Oct-63,5.5
Nov-63,5.7
Dec-63,5.5
Jan-64,5.6
Feb-64,5.4
Mar-64,5.4
Apr-64,5.3
May-64,5.1
Jun-64,5.2
Jul-64,4.9
Aug-64,5
Sep-64,5.1
Oct-64,5.1
Nov-64,4.8
Dec-64,5
Jan-65,4.9
Feb-65,5.1
Mar-65,4.7
Apr-65,4.8
May-65,4.6
Jun-65,4.6
Jul-65,4.4
Aug-65,4.4
Sep-65,4.3
Oct-65,4.2
Nov-65,4.1
Dec-65,4
Jan-66,4
Feb-66,3.8
Mar-66,3.8
Apr-66,3.8
May-66,3.9
Jun-66,3.8
Jul-66,3.8
Aug-66,3.8
Sep-66,3.7
Oct-66,3.7
Nov-66,3.6
Dec-66,3.8
Jan-67,3.9
Feb-67,3.8
Mar-67,3.8
Apr-67,3.8
May-67,3.8
Jun-67,3.9
Jul-67,3.8
Aug-67,3.8
Sep-67,3.8
Oct-67,4
Nov-67,3.9
Dec-67,3.8
Jan-68,3.7
Feb-68,3.8
Mar-68,3.7
Apr-68,3.5
May-68,3.5
Jun-68,3.7
Jul-68,3.7
Aug-68,3.5
Sep-68,3.4
Oct-68,3.4
Nov-68,3.4
Dec-68,3.4
Jan-69,3.4
Feb-69,3.4
Mar-69,3.4
Apr-69,3.4
May-69,3.4
Jun-69,3.5
Jul-69,3.5
Aug-69,3.5
Sep-69,3.7
Oct-69,3.7
Nov-69,3.5
Dec-69,3.5
Jan-70,3.9
Feb-70,4.2
Mar-70,4.4
Apr-70,4.6
May-70,4.8
Jun-70,4.9
Jul-70,5
Aug-70,5.1
Sep-70,5.4
Oct-70,5.5
Nov-70,5.9
Dec-70,6.1
Jan-71,5.9
Feb-71,5.9
Mar-71,6
Apr-71,5.9
May-71,5.9
Jun-71,5.9
Jul-71,6
Aug-71,6.1
Sep-71,6
Oct-71,5.8
Nov-71,6
Dec-71,6
Jan-72,5.8
Feb-72,5.7
Mar-72,5.8
Apr-72,5.7
May-72,5.7
Jun-72,5.7
Jul-72,5.6
Aug-72,5.6
Sep-72,5.5
Oct-72,5.6
Nov-72,5.3
Dec-72,5.2
Jan-73,4.9
Feb-73,5
Mar-73,4.9
Apr-73,5
May-73,4.9
Jun-73,4.9
Jul-73,4.8
Aug-73,4.8
Sep-73,4.8
Oct-73,4.6
Nov-73,4.8
Dec-73,4.9
Jan-74,5.1
Feb-74,5.2
Mar-74,5.1
Apr-74,5.1
May-74,5.1
Jun-74,5.4
Jul-74,5.5
Aug-74,5.5
Sep-74,5.9
Oct-74,6
Nov-74,6.6
Dec-74,7.2
Jan-75,8.1
Feb-75,8.1
Mar-75,8.6
Apr-75,8.8
May-75,9
Jun-75,8.8
Jul-75,8.6
Aug-75,8.4
Sep-75,8.4
Oct-75,8.4
Nov-75,8.3
Dec-75,8.2
Jan-76,7.9
Feb-76,7.7
Mar-76,7.6
Apr-76,7.7
May-76,7.4
Jun-76,7.6
Jul-76,7.8
Aug-76,7.8
Sep-76,7.6
Oct-76,7.7
Nov-76,7.8
Dec-76,7.8
Jan-77,7.5
Feb-77,7.6
Mar-77,7.4
Apr-77,7.2
May-77,7
Jun-77,7.2
Jul-77,6.9
Aug-77,7
Sep-77,6.8
Oct-77,6.8
Nov-77,6.8
Dec-77,6.4
Jan-78,6.4
Feb-78,6.3
Mar-78,6.3
Apr-78,6.1
May-78,6
Jun-78,5.9
Jul-78,6.2
Aug-78,5.9
Sep-78,6
Oct-78,5.8
Nov-78,5.9
Dec-78,6
Jan-79,5.9
Feb-79,5.9
Mar-79,5.8
Apr-79,5.8
May-79,5.6
Jun-79,5.7
Jul-79,5.7
Aug-79,6
Sep-79,5.9
Oct-79,6
Nov-79,5.9
Dec-79,6
Jan-80,6.3
Feb-80,6.3
Mar-80,6.3
Apr-80,6.9
May-80,7.5
Jun-80,7.6
Jul-80,7.8
Aug-80,7.7
Sep-80,7.5
Oct-80,7.5
Nov-80,7.5
Dec-80,7.2
Jan-81,7.5
Feb-81,7.4
Mar-81,7.4
Apr-81,7.2
May-81,7.5
Jun-81,7.5
Jul-81,7.2
Aug-81,7.4
Sep-81,7.6
Oct-81,7.9
Nov-81,8.3
Dec-81,8.5
Jan-82,8.6
Feb-82,8.9
Mar-82,9
Apr-82,9.3
May-82,9.4
Jun-82,9.6
Jul-82,9.8
Aug-82,9.8
Sep-82,10.1
Oct-82,10.4
Nov-82,10.8
Dec-82,10.8
Jan-83,10.4
Feb-83,10.4
Mar-83,10.3
Apr-83,10.2
May-83,10.1
Jun-83,10.1
Jul-83,9.4
Aug-83,9.5
Sep-83,9.2
Oct-83,8.8
Nov-83,8.5
Dec-83,8.3
Jan-84,8
Feb-84,7.8
Mar-84,7.8
Apr-84,7.7
May-84,7.4
Jun-84,7.2
Jul-84,7.5
Aug-84,7.5
Sep-84,7.3
Oct-84,7.4
Nov-84,7.2
Dec-84,7.3
Jan-85,7.3
Feb-85,7.2
Mar-85,7.2
Apr-85,7.3
May-85,7.2
Jun-85,7.4
Jul-85,7.4
Aug-85,7.1
Sep-85,7.1
Oct-85,7.1
Nov-85,7
Dec-85,7
Jan-86,6.7
Feb-86,7.2
Mar-86,7.2
Apr-86,7.1
May-86,7.2
Jun-86,7.2
Jul-86,7
Aug-86,6.9
Sep-86,7
Oct-86,7
Nov-86,6.9
Dec-86,6.6
Jan-87,6.6
Feb-87,6.6
Mar-87,6.6
Apr-87,6.3
May-87,6.3
Jun-87,6.2
Jul-87,6.1
Aug-87,6
Sep-87,5.9
Oct-87,6
Nov-87,5.8
Dec-87,5.7
Jan-88,5.7
Feb-88,5.7
Mar-88,5.7
Apr-88,5.4
May-88,5.6
Jun-88,5.4
Jul-88,5.4
Aug-88,5.6
Sep-88,5.4
Oct-88,5.4
Nov-88,5.3
Dec-88,5.3
Jan-89,5.4
Feb-89,5.2
Mar-89,5
Apr-89,5.2
May-89,5.2
Jun-89,5.3
Jul-89,5.2
Aug-89,5.2
Sep-89,5.3
Oct-89,5.3
Nov-89,5.4
Dec-89,5.4
Jan-90,5.4
Feb-90,5.3
Mar-90,5.2
Apr-90,5.4
May-90,5.4
Jun-90,5.2
Jul-90,5.5
Aug-90,5.7
Sep-90,5.9
Oct-90,5.9
Nov-90,6.2
Dec-90,6.3
Jan-91,6.4
Feb-91,6.6
Mar-91,6.8
Apr-91,6.7
May-91,6.9
Jun-91,6.9
Jul-91,6.8
Aug-91,6.9
Sep-91,6.9
Oct-91,7
Nov-91,7
Dec-91,7.3
Jan-92,7.3
Feb-92,7.4
Mar-92,7.4
Apr-92,7.4
May-92,7.6
Jun-92,7.8
Jul-92,7.7
Aug-92,7.6
Sep-92,7.6
Oct-92,7.3
Nov-92,7.4
Dec-92,7.4
Jan-93,7.3
Feb-93,7.1
Mar-93,7
Apr-93,7.1
May-93,7.1
Jun-93,7
Jul-93,6.9
Aug-93,6.8
Sep-93,6.7
Oct-93,6.8
Nov-93,6.6
Dec-93,6.5
Jan-94,6.6
Feb-94,6.6
Mar-94,6.5
Apr-94,6.4
May-94,6.1
Jun-94,6.1
Jul-94,6.1
Aug-94,6
Sep-94,5.9
Oct-94,5.8
Nov-94,5.6
Dec-94,5.5
Jan-95,5.6
Feb-95,5.4
Mar-95,5.4
Apr-95,5.8
May-95,5.6
Jun-95,5.6
Jul-95,5.7
Aug-95,5.7
Sep-95,5.6
Oct-95,5.5
Nov-95,5.6
Dec-95,5.6
Jan-96,5.6
Feb-96,5.5
Mar-96,5.5
Apr-96,5.6
May-96,5.6
Jun-96,5.3
Jul-96,5.5
Aug-96,5.1
Sep-96,5.2
Oct-96,5.2
Nov-96,5.4
Dec-96,5.4
Jan-97,5.3
Feb-97,5.2
Mar-97,5.2
Apr-97,5.1
May-97,4.9
Jun-97,5
Jul-97,4.9
Aug-97,4.8
Sep-97,4.9
Oct-97,4.7
Nov-97,4.6
Dec-97,4.7
Jan-98,4.6
Feb-98,4.6
Mar-98,4.7
Apr-98,4.3
May-98,4.4
Jun-98,4.5
Jul-98,4.5
Aug-98,4.5
Sep-98,4.6
Oct-98,4.5
Nov-98,4.4
Dec-98,4.4
Jan-99,4.3
Feb-99,4.4
Mar-99,4.2
Apr-99,4.3
May-99,4.2
Jun-99,4.3
Jul-99,4.3
Aug-99,4.2
Sep-99,4.2
Oct-99,4.1
Nov-99,4.1
Dec-99,4
Jan-00,4
Feb-00,4.1
Mar-00,4
Apr-00,3.8
May-00,4
Jun-00,4
Jul-00,4
Aug-00,4.1
Sep-00,3.9
Oct-00,3.9
Nov-00,3.9
Dec-00,3.9
1-Jan,4.2
1-Feb,4.2
1-Mar,4.3
1-Apr,4.4
1-May,4.3
1-Jun,4.5
1-Jul,4.6
1-Aug,4.9
1-Sep,5
1-Oct,5.3
1-Nov,5.5
1-Dec,5.7
2-Jan,5.7
2-Feb,5.7
2-Mar,5.7
2-Apr,5.9
2-May,5.8
2-Jun,5.8
2-Jul,5.8
2-Aug,5.7
2-Sep,5.7
2-Oct,5.7
2-Nov,5.9
2-Dec,6
3-Jan,5.8
3-Feb,5.9
3-Mar,5.9
3-Apr,6
3-May,6.1
3-Jun,6.3
3-Jul,6.2
3-Aug,6.1
3-Sep,6.1
3-Oct,6
3-Nov,5.8
3-Dec,5.7
4-Jan,5.7
4-Feb,5.6
4-Mar,5.8
4-Apr,5.6
4-May,5.6
4-Jun,5.6
4-Jul,5.5
4-Aug,5.4
4-Sep,5.4
4-Oct,5.5
4-Nov,5.4
4-Dec,5.4
5-Jan,5.3
5-Feb,5.4
5-Mar,5.2
5-Apr,5.2
5-May,5.1
5-Jun,5
5-Jul,5
5-Aug,4.9
5-Sep,5
5-Oct,5
5-Nov,5
5-Dec,4.9
6-Jan,4.7
6-Feb,4.8
6-Mar,4.7
6-Apr,4.7
6-May,4.6
6-Jun,4.6
6-Jul,4.7
6-Aug,4.7
6-Sep,4.5
6-Oct,4.4
6-Nov,4.5
6-Dec,4.4
7-Jan,4.6
7-Feb,4.5
7-Mar,4.4
7-Apr,4.5
7-May,4.4
7-Jun,4.6
7-Jul,4.7
7-Aug,4.6
7-Sep,4.7
7-Oct,4.7
7-Nov,4.7
7-Dec,5
8-Jan,5
8-Feb,4.9
8-Mar,5.1
8-Apr,5
8-May,5.4
8-Jun,5.6
8-Jul,5.8
8-Aug,6.1
8-Sep,6.1
8-Oct,6.5
8-Nov,6.8
8-Dec,7.3
9-Jan,7.8
9-Feb,8.3
9-Mar,8.7
9-Apr,9
9-May,9.4
9-Jun,9.5
9-Jul,9.5
9-Aug,9.6
9-Sep,9.8
9-Oct,10
9-Nov,9.9
9-Dec,9.9
10-Jan,9.8
10-Feb,9.8
10-Mar,9.9
10-Apr,9.9
10-May,9.6
10-Jun,9.4
10-Jul,9.4
10-Aug,9.5
10-Sep,9.5
10-Oct,9.4
10-Nov,9.8
10-Dec,9.3
11-Jan,9.1
11-Feb,9
11-Mar,9
11-Apr,9.1
11-May,9
11-Jun,9.1
11-Jul,9
11-Aug,9
11-Sep,9
11-Oct,8.8
11-Nov,8.6
11-Dec,8.5
12-Jan,8.3
12-Feb,8.3
12-Mar,8.2
12-Apr,8.2
12-May,8.2
12-Jun,8.2
12-Jul,8.2
12-Aug,8.1
12-Sep,7.8
12-Oct,7.8
12-Nov,7.7
12-Dec,7.9
13-Jan,8
13-Feb,7.7
13-Mar,7.5
13-Apr,7.6
13-May,7.5
13-Jun,7.5
13-Jul,7.3
13-Aug,7.2
13-Sep,7.2
13-Oct,7.2
13-Nov,6.9
13-Dec,6.7
14-Jan,6.6
14-Feb,6.7
14-Mar,6.7
14-Apr,6.2
14-May,6.3
14-Jun,6.1
14-Jul,6.2
14-Aug,6.1
14-Sep,5.9
14-Oct,5.7
14-Nov,5.8
14-Dec,5.6
15-Jan,5.7
15-Feb,5.5
15-Mar,5.4
15-Apr,5.4
15-May,5.6
15-Jun,5.3
15-Jul,5.2
15-Aug,5.1
15-Sep,5
15-Oct,5
15-Nov,5.1
15-Dec,5
16-Jan,4.9
16-Feb,4.9
16-Mar,5
16-Apr,5
16-May,4.8
16-Jun,4.9
16-Jul,4.8
16-Aug,4.9
16-Sep,5
16-Oct,4.9
16-Nov,4.7
16-Dec,4.7
17-Jan,4.7
17-Feb,4.6
17-Mar,4.4
17-Apr,4.4
17-May,4.4
17-Jun,4.3
17-Jul,4.3
17-Aug,4.4
17-Sep,4.2
17-Oct,4.1
17-Nov,4.2
17-Dec,4.1
18-Jan,4.1
18-Feb,4.1
18-Mar,4
18-Apr,4
18-May,3.8
18-Jun,4
18-Jul,3.8
18-Aug,3.8
18-Sep,3.7
18-Oct,3.8
18-Nov,3.7
18-Dec,3.9
19-Jan,4
19-Feb,3.8
19-Mar,3.8
19-Apr,3.6
19-May,3.6
19-Jun,3.7
19-Jul,3.7
19-Aug,3.7
19-Sep,3.5
19-Oct,3.6
19-Nov,3.5
19-Dec,3.5
20-Jan,3.6
20-Feb,3.5
20-Mar,4.4
20-Apr,14.7
20-May,13.3
20-Jun,11.1
